timestamp,open,high,low,close,volume
2025-08-28 15:00:00+00:00,0.05475,0.05475,0.05475,0.05475,0.0
2025-08-28 16:00:00+00:00,0.05475,0.05475,0.05475,0.05475,0.0
2025-08-28 17:00:00+00:00,0.05455,0.05497,0.05398,0.05398,4654.0
2025-08-28 18:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-28 19:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-28 20:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-28 21:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-28 22:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-28 23:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-29 00:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-29 01:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-29 02:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-29 03:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-29 04:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-29 05:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-29 06:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-29 07:00:00+00:00,0.05398,0.05398,0.05398,0.05398,0.0
2025-08-29 08:00:00+00:00,0.05177,0.05177,0.05177,0.05177,5795.0
2025-08-29 09:00:00+00:00,0.05177,0.05177,0.05177,0.05177,0.0
2025-08-29 10:00:00+00:00,0.05177,0.05177,0.05177,0.05177,0.0
2025-08-29 11:00:00+00:00,0.05177,0.05177,0.05177,0.05177,0.0
2025-08-29 12:00:00+00:00,0.05177,0.05177,0.05177,0.05177,0.0
2025-08-29 13:00:00+00:00,0.05177,0.05177,0.05177,0.05177,0.0
2025-08-29 14:00:00+00:00,0.05177,0.05177,0.05177,0.05177,0.0
2025-08-29 15:00:00+00:00,0.05177,0.05177,0.05177,0.05177,0.0
2025-08-29 16:00:00+00:00,0.05177,0.05177,0.05177,0.05177,0.0
2025-08-29 17:00:00+00:00,0.05222,0.05222,0.05222,0.05222,57.0
2025-08-29 18:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-29 19:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-29 20:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-29 21:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-29 22:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-29 23:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 00:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 01:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 02:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 03:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 04:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 05:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 06:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 07:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 08:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 09:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 10:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 11:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 12:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 13:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 14:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 15:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 16:00:00+00:00,0.05222,0.05222,0.05222,0.05222,0.0
2025-08-30 17:00:00+00:00,0.0529,0.0529,0.0529,0.0529,57.0
2025-08-30 18:00:00+00:00,0.0529,0.0529,0.0529,0.0529,0.0
2025-08-30 19:00:00+00:00,0.0529,0.0529,0.0529,0.0529,0.0
2025-08-30 20:00:00+00:00,0.0529,0.0529,0.0529,0.0529,0.0
2025-08-30 21:00:00+00:00,0.0529,0.0529,0.0529,0.0529,0.0
2025-08-30 22:00:00+00:00,0.0529,0.0529,0.0529,0.0529,0.0
2025-08-30 23:00:00+00:00,0.0529,0.0529,0.0529,0.0529,0.0
2025-08-31 00:00:00+00:00,0.0529,0.0529,0.0529,0.0529,0.0
2025-08-31 01:00:00+00:00,0.0529,0.0529,0.0529,0.0529,0.0
2025-08-31 02:00:00+00:00,0.0529,0.0529,0.0529,0.0529,0.0
2025-08-31 03:00:00+00:00,0.05394,0.05394,0.05394,0.05394,10377.0
2025-08-31 04:00:00+00:00,0.05394,0.05394,0.05394,0.05394,0.0
2025-08-31 05:00:00+00:00,0.05394,0.05394,0.05394,0.05394,0.0
2025-08-31 06:00:00+00:00,0.05394,0.05394,0.05394,0.05394,0.0
2025-08-31 07:00:00+00:00,0.05394,0.05394,0.05394,0.05394,0.0
2025-08-31 08:00:00+00:00,0.05394,0.05394,0.05394,0.05394,0.0
2025-08-31 09:00:00+00:00,0.05394,0.05394,0.05394,0.05394,0.0
2025-08-31 10:00:00+00:00,0.05394,0.05394,0.05394,0.05394,0.0
2025-08-31 11:00:00+00:00,0.05394,0.05394,0.05394,0.05394,0.0
2025-08-31 12:00:00+00:00,0.05171,0.05171,0.05171,0.05171,2655.0
2025-08-31 13:00:00+00:00,0.05171,0.05171,0.05171,0.05171,0.0
2025-08-31 14:00:00+00:00,0.05171,0.05171,0.05171,0.05171,0.0
2025-08-31 15:00:00+00:00,0.05171,0.05171,0.05171,0.05171,0.0
2025-08-31 16:00:00+00:00,0.05171,0.05171,0.05171,0.05171,0.0
2025-08-31 17:00:00+00:00,0.05473,0.05473,0.05473,0.05473,55.0
2025-08-31 18:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-08-31 19:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-08-31 20:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-08-31 21:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-08-31 22:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-08-31 23:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 00:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 01:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 02:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 03:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 04:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 05:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 06:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 07:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 08:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 09:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 10:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 11:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 12:00:00+00:00,0.05473,0.05473,0.05473,0.05473,0.0
2025-09-01 13:00:00+00:00,0.05259,0.05259,0.05259,0.05259,190.0
2025-09-01 14:00:00+00:00,0.05259,0.05259,0.05259,0.05259,0.0
2025-09-01 15:00:00+00:00,0.05259,0.05259,0.05259,0.05259,0.0
2025-09-01 16:00:00+00:00,0.04945,0.04945,0.04941,0.04941,2125.0
2025-09-01 17:00:00+00:00,0.05255,0.05255,0.04941,0.04941,1289.0
2025-09-01 18:00:00+00:00,0.04941,0.04941,0.04941,0.04941,0.0
2025-09-01 19:00:00+00:00,0.04941,0.04941,0.04941,0.04941,0.0
2025-09-01 20:00:00+00:00,0.04941,0.04941,0.04925,0.04925,3278.0
2025-09-01 21:00:00+00:00,0.04922,0.04922,0.04822,0.04822,164.0
2025-09-01 22:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-01 23:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 00:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 01:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 02:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 03:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 04:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 05:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 06:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 07:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 08:00:00+00:00,0.04822,0.04822,0.04822,0.04822,0.0
2025-09-02 09:00:00+00:00,0.04913,0.04913,0.04913,0.04913,25.0
2025-09-02 10:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 11:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 12:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 13:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 14:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 15:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 16:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 17:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 18:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 19:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 20:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 21:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 22:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-02 23:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 00:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 01:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 02:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 03:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 04:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 05:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 06:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 07:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 08:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 09:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 10:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 11:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 12:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 13:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 14:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 15:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 16:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 17:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 18:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 19:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 20:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 21:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 22:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-03 23:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 00:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 01:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 02:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 03:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 04:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 05:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 06:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 07:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 08:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 09:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 10:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 11:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 12:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 13:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 14:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 15:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 16:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 17:00:00+00:00,0.04913,0.04913,0.04913,0.04913,61.0
2025-09-04 18:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 19:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-04 20:00:00+00:00,0.04723,0.04723,0.04723,0.04723,83.0
2025-09-04 21:00:00+00:00,0.04723,0.04723,0.04723,0.04723,0.0
2025-09-04 22:00:00+00:00,0.04723,0.04723,0.04723,0.04723,0.0
2025-09-04 23:00:00+00:00,0.04723,0.04723,0.04723,0.04723,0.0
2025-09-05 00:00:00+00:00,0.04723,0.04723,0.04723,0.04723,0.0
2025-09-05 01:00:00+00:00,0.04723,0.04723,0.04723,0.04723,0.0
2025-09-05 02:00:00+00:00,0.04913,0.04913,0.04913,0.04913,2440.0
2025-09-05 03:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 04:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 05:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 06:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 07:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 08:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 09:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 10:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 11:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 12:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 13:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 14:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 15:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 16:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 17:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 18:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 19:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 20:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 21:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 22:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-05 23:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-06 00:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-06 01:00:00+00:00,0.04913,0.04913,0.04913,0.04913,0.0
2025-09-06 02:00:00+00:00,0.04776,0.04776,0.04776,0.04776,149.0
2025-09-06 03:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 04:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 05:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 06:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 07:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 08:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 09:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 10:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 11:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 12:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 13:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 14:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 15:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 16:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 17:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 18:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 19:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 20:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 21:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 22:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-06 23:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-07 00:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-07 01:00:00+00:00,0.04776,0.04776,0.04776,0.04776,0.0
2025-09-07 02:00:00+00:00,0.04748,0.04748,0.04748,0.04748,364.0
2025-09-07 03:00:00+00:00,0.04748,0.04748,0.04748,0.04748,0.0
2025-09-07 04:00:00+00:00,0.04748,0.04748,0.04748,0.04748,0.0
2025-09-07 05:00:00+00:00,0.04748,0.04748,0.04748,0.04748,0.0
2025-09-07 06:00:00+00:00,0.04748,0.04748,0.04748,0.04748,0.0
2025-09-07 07:00:00+00:00,0.04748,0.04748,0.04748,0.04748,0.0
2025-09-07 08:00:00+00:00,0.04748,0.04748,0.04748,0.04748,0.0
2025-09-07 09:00:00+00:00,0.04748,0.04748,0.04748,0.04748,0.0
2025-09-07 10:00:00+00:00,0.04748,0.04748,0.04748,0.04748,0.0
2025-09-07 11:00:00+00:00,0.04748,0.04748,0.04748,0.04748,0.0
2025-09-07 12:00:00+00:00,0.04755,0.04755,0.04755,0.04755,817.0
2025-09-07 13:00:00+00:00,0.04755,0.04755,0.04755,0.04755,0.0
2025-09-07 14:00:00+00:00,0.0504,0.0504,0.0504,0.0504,3959.0
2025-09-07 15:00:00+00:00,0.0504,0.0504,0.0504,0.0504,0.0
2025-09-07 16:00:00+00:00,0.0504,0.0504,0.0504,0.0504,0.0
2025-09-07 17:00:00+00:00,0.05179,0.05179,0.05179,0.05179,58.0
2025-09-07 18:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-07 19:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-07 20:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-07 21:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-07 22:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-07 23:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 00:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 01:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 02:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 03:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 04:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 05:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 06:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 07:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 08:00:00+00:00,0.05179,0.05179,0.05179,0.05179,0.0
2025-09-08 09:00:00+00:00,0.05184,0.05184,0.05184,0.05184,4815.0
2025-09-08 10:00:00+00:00,0.05184,0.05184,0.05184,0.05184,0.0
2025-09-08 11:00:00+00:00,0.05184,0.05184,0.05184,0.05184,0.0
2025-09-08 12:00:00+00:00,0.05184,0.05184,0.05184,0.05184,0.0
2025-09-08 13:00:00+00:00,0.05184,0.05184,0.05184,0.05184,0.0
2025-09-08 14:00:00+00:00,0.05184,0.05184,0.05184,0.05184,0.0
2025-09-08 15:00:00+00:00,0.05184,0.05184,0.05184,0.05184,0.0
2025-09-08 16:00:00+00:00,0.05184,0.05184,0.05184,0.05184,0.0
2025-09-08 17:00:00+00:00,0.05197,0.05197,0.05197,0.05197,58.0
2025-09-08 18:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-08 19:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-08 20:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-08 21:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-08 22:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-08 23:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 00:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 01:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 02:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 03:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 04:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 05:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 06:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 07:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 08:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 09:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 10:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 11:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 12:00:00+00:00,0.05197,0.05197,0.05197,0.05197,0.0
2025-09-09 13:00:00+00:00,0.04871,0.0488,0.04871,0.0488,622.0
2025-09-09 14:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-09 15:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-09 16:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-09 17:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-09 18:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-09 19:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-09 20:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-09 21:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-09 22:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-09 23:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 00:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 01:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 02:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 03:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 04:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 05:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 06:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 07:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 08:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 09:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 10:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 11:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 12:00:00+00:00,0.0488,0.0488,0.0488,0.0488,3817.0
2025-09-10 13:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 14:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 15:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 16:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 17:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 18:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 19:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 20:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 21:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 22:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-10 23:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-11 00:00:00+00:00,0.0488,0.0488,0.0488,0.0488,0.0
2025-09-11 01:00:00+00:00,0.0486,0.0486,0.0486,0.0486,4090.0
2025-09-11 02:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 03:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 04:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 05:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 06:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 07:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 08:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 09:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 10:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 11:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 12:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 13:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 14:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 15:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 16:00:00+00:00,0.0486,0.0486,0.0486,0.0486,0.0
2025-09-11 17:00:00+00:00,0.05237,0.05237,0.05237,0.05237,57.0
2025-09-11 18:00:00+00:00,0.05237,0.05237,0.05237,0.05237,0.0
